Nome Popular,Nome Científico,Descrição Curta,Descrição,Fruto,Origem,Tipo,Propagação,Toxicidade,Dificuldade,Filo,Classe,Ordem,Família,Gênero,Espécie,Altura,Cor da Flor,Folhagem,Floração,Luz,Água,Tamanho,Solo,Irrigação,Adubação,Poda,Pragas,Plantio,Estação Plantio,Espaçamento,Luminosidade,Temperatura Ideal
Morango,Fragaria × ananassa,Planta rasteira que produz frutos vermelhos,Planta herbácea da família Rosaceae muito cultivada por seus frutos aromáticos e saborosos,Bagas,América do Sul,Frutífera,Sementes,Não é tóxica,Média,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Fragaria,Fragaria × ananassa,Até 0.3 m,Branco puro,Perene,Primavera/Verão,Sol pleno,Abundante,Pequeno,Rico em matéria orgânica,Rega frequente em períodos secos,Adubação a cada 15 dias com NPK 10-10-10,Poda de folhas secas,Pulgões e cochonilhas,Plantar em local ensolarado com solo fértil,Primavera,0.3 m,6-8 horas,15°C a 25°C
Manjericão,Ocimum basilicum,Erva aromática muito usada na culinária italiana,Planta anual da família Lamiaceae usada fresca em saladas molhos e temperos,Bagas,Ásia Tropical,Erva,Sementes,Não é tóxica,Baixa,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Ocimum,Ocimum basilicum,Até 0.6 m,Branco puro,Decídua,Verão,Sol pleno,Moderada,Pequeno,Bem drenado,Manter solo úmido mas não encharcado,Adubação orgânica mensal,Poda frequente para estimular crescimento,Pulgões e moscas-brancas,Sementes na primavera,Verão,0.2 m,6-8 horas,18°C a 30°C
Espada-de-São-Jorge,Acorus calamus,Planta aquática com folhas longas e erectas,Planta perene da família Acoraceae usada em jardins aquáticos e medicina tradicional,Infrutescência,Ásia,Aquática,Estacas,Não é tóxica,Baixa,Magnoliophyta,Magnoliopsida,Acorales,Acoraceae,Acorus,Acorus calamus,Até 1.5 m,Verde,Perene,Primavera/Verão,Meia-sombra,Abundante,Grande,Argiloso,Manter sempre encharcado,Pouca necessidade de adubação,Poda de folhas secas,Pragas raras,Divisão de touceiras,Primavera,0.5 m,4-6 horas,10°C a 30°C
Suculenta Echeveria,Echeveria elegans,Suculenta roseta com folhas azuladas,Planta suculenta da família Crassulaceae originária do México ornamental muito popular em vasos,Cápsula,México,Suculenta,Estacas,Não é tóxica,Baixa,Magnoliophyta,Magnoliopsida,Saxifragales,Crassulaceae,Echeveria,Echeveria elegans,Até 0.2 m,Rosa ou roxo,Sempre-verde,Verão,Sol pleno,Pouca,Pequeno,Arenoso,Rega pouca e espaçada,Adubação suculenta a cada 2 meses,Remover folhas secas,Pragas raras,Estacas de folhas,Primavera,0.15 m,8-12 horas,12°C a 35°C
Samambaia Nephrolepis,Nephrolepis exaltata,Samambaia ornamental de folhas delicadas,Planta da família Nephrolepidaceae muito usada em vasos e jardins sombrios,Sem fruto,América Tropical,Samambaia,Divisão de touceiras,Não é tóxica,Baixa,Magnoliophyta,Magnoliopsida,Polypodiales,Nephrolepidaceae,Nephrolepis,Nephrolepis exaltata,Até 1.2 m,Verde,Perene,Todo o ano,Meia-sombra,Abundante,Médio,Orgânico,Manter solo sempre úmido,Adubação líquida mensal,Remover frondes secas,Cochonilhas,Divisão de touceiras,Todo o ano,0.3 m,4-6 horas,15°C a 28°C
Lavanda,Lavandula angustifolia,Erva aromática com flores roxas perfumadas,Planta perene da família Lamiaceae usada em aromaterapia perfumes e como inseticida natural,Noz,Mediterrâneo,Arbusto,Estacas,Não é tóxica,Média,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Lavandula,Lavandula angustifalia,Até 0.8 m,Rosa ou roxo,Sempre-verde,Verão,Sol pleno,Pouca,Pequeno,Arenoso,Rega espaçada adubação leve,Adubação orgânica na primavera,Poda após floração,Pulgões e fungos,Estacas na primavera,Verão,0.4 m,8-12 horas,10°C a 30°C
Aipim,Manihot esculenta,Planta tuberosa originária da Amazônia,Planta da família Euphorbiaceae importante fonte de amido nos trópicos. Raízes tuberosas comestíveis após cozimento,Legume (vagem),América do Sul,Frutífera,Estacas,Alta toxicidade (cru),Média,Magnoliophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Manihot,Manihot esculenta,Até 3 m,Verde,Perene,Todo o ano,Sol pleno,Abundante,Grande,Argiloso,Rega regular durante crescimento,Adubação NPK a cada 2 meses,Poda de galhos secos,Pragas ocasionais,Estacas de galho,Todo o ano,1 m,6-8 horas,20°C a 35°C
Bromélia,Vriesea splendens,Planta epífita com inflorescência colorida,Planta da família Bromeliaceae ornamental muito popular em jardins tropicais e vasos,Cápsula,América do Sul,Ornamental,Divisão de touceiras,Não é tóxica,Baixa,Magnoliophyta,Magnoliopsida,Poales,Bromeliaceae,Vriesea,Vriesea splendens,Até 0.6 m,Vermelho,Perene,Primavera/Verão,Meia-sombra,Moderada,Pequeno,Orgânico,Encher a roseta com água,Pouca necessidade de adubação,Remover folhas secas,Pragas raras,Divisão de touceiras,Primavera,0.3 m,4-6 horas,15°C a 30°C
Cravo-de-Índia,Dianthus caryophyllus,Planta herbácea com flores perfumadas,Planta da família Caryophyllaceae muito cultivada por flores cortadas e jardins,Cápsula,Europa,Erva,Sementes,Não é tóxica,Média,Magnoliophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Dianthus,Dianthus caryophyllus,Até 0.6 m,Vermelho,Decídua,Primavera/Verão,Sol pleno,Moderada,Pequeno,Bem drenado,Rega moderada,Adubação a cada 20 dias,Poda de flores secas,Pulgões e ferrugem,Sementes na primavera,Primavera,0.2 m,6-8 horas,12°C a 25°C
Alecrim,Rosmarinus officinalis,Arbusto aromático de uso culinário e medicinal,Planta perene da família Lamiaceae usada na culinária medicina fitoterápica e como ornamental,Noz,Mediterrâneo,Arbusto,Estacas,Não é tóxica,Baixa,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Rosmarinus,Rosmarinus officinalis,Até 1.5 m,Azul,Sempre-verde,Todo o ano,Sol pleno,Pouca,Grande,Arenoso,Rega espaçada,Adubação orgânica leve na primavera,Poda de formação,Poucas pragas,Estacas ou sementes,Primavera,0.5 m,8-12 horas,5°C a 35°C
Zamioculca,Zamioculcas zamiifolia,Planta de interior com folhas brilhantes,Planta da família Araceae muito resistente e ideal para ambientes com pouca luz,Infrutescência,África Tropical,Ornamental,Estacas,Não é tóxica,Baixa,Magnoliophyta,Magnoliopsida,Alismatales,Araceae,Zamioculcas,Zamioculcas zamiifolia,Até 0.9 m,Verde,Sempre-verde,Todo o ano,Meia-sombra,Pouca,Pequeno,Bem drenado,Rega espaçada adubação leve,Adubação a cada 3 meses,Remover folhas danificadas,Pragas raras,Divisão de touceiras,Todo o ano,0.4 m,4-8 horas,15°C a 30°C
